iter	Passed	Remaining
0	6	629
1	13	660
2	19	615
3	22	528
4	23	454
5	25	402
6	27	363
7	29	333
8	31	314
9	34	306
10	35	290
11	37	275
12	39	262
13	40	251
14	42	240
15	44	231
16	45	223
17	47	215
18	50	213
19	51	206
20	52	199
21	54	194
22	56	190
23	58	185
24	60	180
25	62	177
26	65	176
27	66	171
28	67	166
29	69	162
30	71	158
31	72	154
32	74	150
33	75	147
34	77	143
35	79	142
36	81	138
37	82	135
38	84	132
39	86	129
40	87	126
41	88	122
42	89	119
43	91	116
44	92	113
45	95	111
46	96	108
47	98	106
48	99	103
49	101	101
50	102	98
51	104	96
52	105	93
53	107	91
54	108	88
55	110	86
56	111	84
57	113	81
58	114	79
59	116	77
60	118	75
61	119	73
62	121	71
63	124	69
64	126	67
65	128	65
66	130	64
67	131	61
68	133	59
69	134	57
70	137	56
71	140	54
72	142	52
73	144	50
74	145	48
75	147	46
76	148	44
77	150	42
78	152	40
79	156	39
80	157	36
81	158	34
82	160	32
83	162	30
84	163	28
85	165	26
86	167	25
87	169	23
88	170	21
89	172	19
90	173	17
91	174	15
92	176	13
93	177	11
94	179	9
95	181	7
96	183	5
97	185	3
98	186	1
99	188	0
