iter	Passed	Remaining
0	1	1824
1	4	2247
2	5	1869
3	6	1649
4	7	1513
5	8	1413
6	9	1307
7	9	1225
8	10	1162
9	11	1108
10	11	1065
11	12	1028
12	13	996
13	13	969
14	14	944
15	15	923
16	15	907
17	16	890
18	16	877
19	17	865
20	18	869
21	19	872
22	20	868
23	21	856
24	21	846
25	22	836
26	22	828
27	23	819
28	24	812
29	24	805
30	25	798
31	26	793
32	26	789
33	27	786
34	28	782
35	28	776
36	29	770
37	30	766
38	31	764
39	31	760
40	32	756
41	32	752
42	33	753
43	34	755
44	35	754
45	36	750
46	36	747
47	37	743
48	38	740
49	38	737
50	39	733
51	40	730
52	40	727
53	41	724
54	41	721
55	42	718
56	43	715
57	43	713
58	44	711
59	45	711
60	46	709
61	46	706
62	47	704
63	48	704
64	49	706
65	50	707
66	50	705
67	51	703
68	51	701
69	52	699
70	53	698
71	54	696
72	54	695
73	55	693
74	56	692
75	56	690
76	57	687
77	58	685
78	58	683
79	59	683
80	60	682
81	60	681
82	61	676
83	61	675
84	62	673
85	63	673
86	64	676
87	65	676
88	65	675
89	66	673
90	67	671
91	67	669
92	68	668
93	69	666
94	69	664
95	70	663
96	71	662
97	71	661
98	72	660
99	73	660
100	74	659
101	74	658
102	75	656
103	76	655
104	76	653
105	77	652
106	78	651
107	79	652
108	80	655
109	80	654
110	81	654
111	82	654
112	83	655
113	84	654
114	84	653
115	85	651
116	86	649
117	86	647
118	87	646
119	88	645
120	88	644
121	89	642
122	90	642
123	90	641
124	91	640
125	92	638
126	92	636
127	93	636
128	94	637
129	95	636
130	95	635
131	96	634
132	97	633
133	97	632
134	98	631
135	99	630
136	99	629
137	100	628
138	101	627
139	101	626
140	102	625
141	103	622
142	103	621
143	104	619
144	104	618
145	105	617
146	106	616
147	106	615
148	107	614
149	108	613
150	109	614
151	110	615
152	111	614
153	111	613
154	112	612
155	112	611
156	113	610
157	114	608
158	114	607
159	115	606
160	116	604
161	116	604
162	117	603
163	118	602
164	118	601
165	119	600
166	120	599
167	120	598
168	121	597
169	122	596
170	122	595
171	123	594
172	124	594
173	125	594
174	126	594
175	126	594
176	127	593
177	128	592
178	128	591
179	129	590
180	130	589
181	131	589
182	131	589
183	132	588
184	133	587
185	133	586
186	134	585
187	135	584
188	135	583
189	136	582
190	137	581
191	137	580
192	138	579
193	139	579
194	140	579
195	141	579
196	141	578
197	142	576
198	143	575
199	143	575
200	144	575
201	145	575
202	146	574
203	146	573
204	147	572
205	148	571
206	148	570
207	149	569
208	150	568
209	150	567
210	151	566
211	152	565
212	152	564
213	153	563
214	154	563
215	155	564
216	156	563
217	156	562
218	157	561
219	158	560
220	158	559
221	159	558
222	160	557
223	160	556
224	161	555
225	162	554
226	162	554
227	163	553
228	164	552
229	164	551
230	165	550
231	166	549
232	166	548
233	167	548
234	168	547
235	168	546
236	169	545
237	170	546
238	171	545
239	172	544
240	172	544
241	173	543
242	174	542
243	174	541
244	175	540
245	175	539
246	176	538
247	177	537
248	177	536
249	178	535
250	179	534
251	179	533
252	180	532
253	181	531
254	181	530
255	182	529
256	183	529
257	183	528
258	184	527
259	185	527
260	186	527
261	187	527
262	187	526
263	188	526
264	189	525
265	190	525
266	191	524
267	191	523
268	192	522
269	193	522
270	193	521
271	194	520
272	194	519
273	195	518
274	196	517
275	196	516
276	197	515
277	198	514
278	199	514
279	200	514
280	201	515
281	202	514
282	202	513
283	203	512
284	203	511
285	204	510
286	205	510
287	206	509
288	206	508
289	207	507
290	208	507
291	208	506
292	209	505
293	210	504
294	210	503
295	211	503
296	212	502
297	212	501
298	213	500
299	214	499
300	215	499
301	216	499
302	216	499
303	217	498
304	218	497
305	219	496
306	219	495
307	220	495
308	220	494
309	221	493
310	222	492
311	222	491
312	223	490
313	224	489
314	224	488
315	225	488
316	226	487
317	226	486
318	227	485
319	228	484
320	228	483
321	229	482
322	230	482
323	231	481
324	231	481
325	232	480
326	233	479
327	233	478
328	234	478
329	235	477
330	235	476
331	236	475
332	237	474
333	237	474
334	238	473
335	238	472
336	239	471
337	240	470
338	240	469
339	241	468
340	242	467
341	242	467
342	243	466
343	244	465
344	245	466
345	247	467
346	248	466
347	248	466
348	249	465
349	250	464
350	250	464
351	251	463
352	252	462
353	252	461
354	253	460
355	254	459
356	254	459
357	255	458
358	256	457
359	256	456
360	257	455
361	258	455
362	258	454
363	259	453
364	260	452
365	261	452
366	262	451
367	263	451
368	263	451
369	264	450
370	265	449
371	266	449
372	266	448
373	267	448
374	268	447
375	269	446
376	269	446
377	270	445
378	271	445
379	272	444
380	273	444
381	274	443
382	274	442
383	275	442
384	276	442
385	277	442
386	278	441
387	279	440
388	280	440
389	281	439
390	281	439
391	282	438
392	283	437
393	283	436
394	284	435
395	285	435
396	285	434
397	286	433
398	287	432
399	287	431
400	288	431
401	289	430
402	290	430
403	291	430
404	292	429
405	293	428
406	293	428
407	294	427
408	295	426
409	295	425
410	296	424
411	296	423
412	297	422
413	298	422
414	298	421
415	299	420
416	300	419
417	300	418
418	301	418
419	302	417
420	303	416
421	304	416
422	304	415
423	305	415
424	307	416
425	308	415
426	309	415
427	310	415
428	311	414
429	312	413
430	313	413
431	313	412
432	314	412
433	315	411
434	316	411
435	317	410
436	317	409
437	318	408
438	319	407
439	319	407
440	320	406
441	321	406
442	323	407
443	324	406
444	325	405
445	326	405
446	327	404
447	328	404
448	328	403
449	329	403
450	330	402
451	331	401
452	331	400
453	332	399
454	333	399
455	333	398
456	334	397
457	335	396
458	336	396
459	338	397
460	338	396
461	339	395
462	340	394
463	341	394
464	342	393
465	342	393
466	343	392
467	344	391
468	345	390
469	345	389
470	346	389
471	347	388
472	347	387
473	348	386
474	348	385
475	349	384
476	350	384
477	351	384
478	352	383
479	353	382
480	354	382
481	354	381
482	355	380
483	356	379
484	356	378
485	357	378
486	358	377
487	358	376
488	359	375
489	360	374
490	360	374
491	361	373
492	362	372
493	363	371
494	363	370
495	364	370
496	364	369
497	365	368
498	367	368
499	368	368
500	368	367
501	369	366
502	370	365
503	370	364
504	371	364
505	372	363
506	372	362
507	373	361
508	374	360
509	374	360
510	375	359
511	376	358
512	376	357
513	377	356
514	377	355
515	378	355
516	379	354
517	380	353
518	381	353
519	382	353
520	383	352
521	384	352
522	385	351
523	385	350
524	386	349
525	387	349
526	388	348
527	389	347
528	389	347
529	390	346
530	391	345
531	392	344
532	392	344
533	393	343
534	394	342
535	394	341
536	395	341
537	414	356
538	416	356
539	418	356
540	420	356
541	421	356
542	422	355
543	424	355
544	425	355
545	427	355
546	429	356
547	431	355
548	432	355
549	433	354
550	435	354
551	436	354
552	437	353
553	438	353
554	439	352
555	440	352
556	441	351
557	442	350
558	444	350
559	445	349
560	445	348
561	446	348
562	447	347
563	448	346
564	448	345
565	449	344
566	450	343
567	450	342
568	451	341
569	452	341
570	452	340
571	453	339
572	454	338
573	454	337
574	455	336
575	456	335
576	456	334
577	457	334
578	459	333
579	460	333
580	460	332
581	461	331
582	462	330
583	462	329
584	463	328
585	464	328
586	464	327
587	465	326
588	466	325
589	466	324
590	467	323
591	468	322
592	468	321
593	469	320
594	470	320
595	470	319
596	471	318
597	472	317
598	473	316
599	474	316
600	475	315
601	476	314
602	477	314
603	477	313
604	478	312
605	479	311
606	480	310
607	480	310
608	481	309
609	482	308
610	482	307
611	483	306
612	484	305
613	484	304
614	485	303
615	486	303
616	486	302
617	487	301
618	489	301
619	490	300
620	490	299
621	491	298
622	492	297
623	492	297
624	493	296
625	494	295
626	494	294
627	495	293
628	496	292
629	496	291
630	497	290
631	498	290
632	498	289
633	499	288
634	500	287
635	500	286
636	501	285
637	502	284
638	502	284
639	504	283
640	505	282
641	505	282
642	506	281
643	507	280
644	507	279
645	508	278
646	509	277
647	509	276
648	510	276
649	511	275
650	511	274
651	512	273
652	512	272
653	513	271
654	514	270
655	514	270
656	515	269
657	516	268
658	516	267
659	517	266
660	519	266
661	520	265
662	520	264
663	521	263
664	522	263
665	523	262
666	523	261
667	524	260
668	524	259
669	525	258
670	526	258
671	527	257
672	527	256
673	528	255
674	529	254
675	529	253
676	530	253
677	530	252
678	531	251
679	532	250
680	533	249
681	534	249
682	535	248
683	536	247
684	537	247
685	538	246
686	538	245
687	539	244
688	540	243
689	540	242
690	541	242
691	542	241
692	542	240
693	543	239
694	544	238
695	544	237
696	545	237
697	545	236
698	546	235
699	547	234
700	548	233
701	549	233
702	550	232
703	551	231
704	552	231
705	553	230
706	553	229
707	554	228
708	555	227
709	555	227
710	556	226
711	557	225
712	557	224
713	558	223
714	559	222
715	559	221
716	560	221
717	560	220
718	561	219
719	562	218
720	563	218
721	565	217
722	566	216
723	566	216
724	567	215
725	568	214
726	569	213
727	569	212
728	570	212
729	571	211
730	571	210
731	572	209
732	573	208
733	573	207
734	574	207
735	575	206
736	575	205
737	576	204
738	576	203
739	577	202
740	578	202
741	580	201
742	581	201
743	582	200
744	583	199
745	583	198
746	584	197
747	585	197
748	585	196
749	586	195
750	586	194
751	587	193
752	588	192
753	588	192
754	589	191
755	590	190
756	590	189
757	591	188
758	592	188
759	592	187
760	593	186
761	595	186
762	596	185
763	597	184
764	598	183
765	599	183
766	600	182
767	600	181
768	601	180
769	602	179
770	602	179
771	603	178
772	604	177
773	604	176
774	605	175
775	605	174
776	606	174
777	607	173
778	608	172
779	609	171
780	611	171
781	611	170
782	612	169
783	613	169
784	614	168
785	614	167
786	615	166
787	616	165
788	616	164
789	617	164
790	618	163
791	618	162
792	619	161
793	620	160
794	620	160
795	621	159
796	621	158
797	622	157
798	623	156
799	624	156
800	625	155
801	626	154
802	627	153
803	627	153
804	628	152
805	629	151
806	629	150
807	630	149
808	631	148
809	631	148
810	632	147
811	633	146
812	633	145
813	634	145
814	635	144
815	636	143
816	636	142
817	637	141
818	638	141
819	639	140
820	640	139
821	641	138
822	641	138
823	642	137
824	642	136
825	643	135
826	644	134
827	645	133
828	645	133
829	646	132
830	647	131
831	647	130
832	648	129
833	648	129
834	649	128
835	650	127
836	650	126
837	651	125
838	652	125
839	652	124
840	653	123
841	654	122
842	655	122
843	656	121
844	657	120
845	657	119
846	658	118
847	659	118
848	659	117
849	660	116
850	661	115
851	661	114
852	662	114
853	663	113
854	663	112
855	664	111
856	665	110
857	665	110
858	666	109
859	666	108
860	667	107
861	668	106
862	668	106
863	669	105
864	670	104
865	671	103
866	672	103
867	673	102
868	673	101
869	674	100
870	675	100
871	676	99
872	676	98
873	677	97
874	678	96
875	678	96
876	679	95
877	680	94
878	681	93
879	681	92
880	682	92
881	683	91
882	683	90
883	684	89
884	685	89
885	686	88
886	687	87
887	687	86
888	688	85
889	689	85
890	689	84
891	690	83
892	691	82
893	691	82
894	692	81
895	693	80
896	693	79
897	694	78
898	695	78
899	695	77
900	696	76
901	696	75
902	697	74
903	698	74
904	698	73
905	699	72
906	700	71
907	701	71
908	702	70
909	703	69
910	703	68
911	704	67
912	705	67
913	705	66
914	706	65
915	707	64
916	707	64
917	708	63
918	709	62
919	710	61
920	710	60
921	711	60
922	711	59
923	712	58
924	713	57
925	713	57
926	714	56
927	715	55
928	716	54
929	717	53
930	717	53
931	718	52
932	719	51
933	719	50
934	720	50
935	721	49
936	721	48
937	722	47
938	723	46
939	723	46
940	724	45
941	725	44
942	725	43
943	726	43
944	727	42
945	727	41
946	728	40
947	729	39
948	729	39
949	730	38
950	731	37
951	732	36
952	733	36
953	733	35
954	734	34
955	735	33
956	735	33
957	736	32
958	737	31
959	737	30
960	738	29
961	739	29
962	739	28
963	740	27
964	740	26
965	741	26
966	742	25
967	742	24
968	743	23
969	744	23
970	744	22
971	746	21
972	747	20
973	747	19
974	748	19
975	749	18
976	749	17
977	750	16
978	751	16
979	751	15
980	752	14
981	753	13
982	753	13
983	754	12
984	755	11
985	755	10
986	756	9
987	757	9
988	757	8
989	758	7
990	759	6
991	759	6
992	760	5
993	761	4
994	762	3
995	763	3
996	764	2
997	765	1
998	765	0
999	766	0
